id,title,body_part,gif_url,_norm
8f27b46d-c0ec-44c9-9064-9d08dcd96d0f,Standing Side Toe Touching,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Side-Toe-Touching.gif,standing side toe touching
da5e1f1e-4bb6-4dae-97f6-7684031c542e,Dumbbell Split Jump,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dumbbell-Split-Jump.gif,dumbbell split jump
db1a2b58-7a33-43d1-acf6-cc1188aee17f,Banded Step-up,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Banded-Step-up.gif,banded step up
9dda8e13-e37d-402f-a0d0-47107d11938d,Barbell Curtsey Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Barbell-Curtsey-Lunge.gif,barbell curtsey lunge
dae716b9-bb97-45a8-bf34-e53b51de4a5d,Dumbbell Jump Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dumbbell-Jump-Squat.gif,dumbbell jump squat
c4d195ea-2a3c-4736-bb0a-9fda9cb275a6,Burpees,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/burpees.gif,burpee
0e9ddaa5-52f4-474b-908a-d35b1a53cd29,Lever Kneeling Leg Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Kneeling-Leg-Curl-.gif,lever kneeling leg curl
f3d2d6d3-1df8-4f1d-95d2-e4985cb3076c,Seated Toe Touches,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-Toe-Touches.gif,seated toe touche
6b7eceba-370e-406f-8047-f59b495503d9,Reverse Hack Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Reverse-Hack-Squat.gif,reverse hack squat
66700117-6bbe-4be3-8787-6c8b8b22bef3,Trap Bar Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Trap-Bar-Deadlift.gif,trap bar deadlift
21470ea8-99db-4126-8cb6-19e448064c53,One Arm Dumbbell Snatch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/One-Arm-Dumbbell-Snatch.gif,one arm dumbbell snatch
196695b7-6330-4731-9714-6fd00ed4dde7,Landmine Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Landmine-Lunge.gif,landmine lunge
5aa4cd1c-b1e7-4d13-a373-8de7ee488f75,Skater Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/07/Skater-Squat.gif,skater squat
234893d7-e0a8-437b-a22a-9193ea692025,Shrimp Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/shrimp-squats.gif,shrimp squat
9d5e5834-3f74-4c5d-921e-04f3f4eadd6b,Towel Leg Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Towel-Leg-Curl.gif,towel leg curl
490ad928-5a70-4936-8222-f72391827f12,Foam Roller IT (iliotibial Band) Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-IT-iliotibial-Band-Stretch.gif,foam roller it stretch
255003b1-c03b-4079-9f69-9fed9cc6d0a6,Foam Roller Quads,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Quads.gif,foam roller quad
680cfa3a-64aa-4fb9-bf42-10acfaec36ed,Foam Roller Inner Thigh Adductor Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Inner-Thigh-Adductor-Stretch.gif,foam roller inner thigh adductor stretch
8e2e87f0-81b2-45b1-8b48-cd56c07667b3,Foam Roller Hamstrings,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Hamstrings.gif,foam roller hamstring
a3b95b30-0827-48bc-af55-f744c622c337,Foam Roller Plantar Fasciitis,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Plantar-Fasciitis.gif,foam roller plantar fasciiti
5341f435-6365-454c-b005-d18c758d367d,90/90 Hip Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/08/90-90-Hip-Stretch.gif,90 90 hip stretch
02b7f156-19fb-4f93-a260-7864a44bc31c,Stiff Leg Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2022/01/Stiff-Leg-Deadlift.gif,stiff leg deadlift
70273825-5279-4eca-9d10-16421aee03f3,Dumbbell Goblet Curtsey Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Goblet-Curtsey-Lunge.gif,dumbbell goblet curtsey lunge
7a203516-ad72-4c82-a77f-877dc11c0c6e,Cable Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Lunge.gif,cable lunge
adb447ba-c761-4861-8b75-8cc632018a41,Bodyweight Kneeling Sissy Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2023/02/Bodyweight-Kneeling-Sissy-Squat.gif,bodyweight kneeling sissy squat
9a1d277b-228d-45a2-aac6-62d94d8c9397,Trap Bar Jump Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2023/02/trap-bar-jump-squat.gif,trap bar jump squat
23024acd-6cef-4dca-8e18-692a5070b371,Box Jump to Pistol Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2023/02/Box-Jump-to-Pistol-Squat.gif,box jump to pistol squat
eef2cf71-275c-4719-bb8a-48923472da89,Bow Pose,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bow-Yoga-Pose.gif,bow pose
074db308-03ad-4135-9793-8bbf066163a8,Seated Straight Leg Calf Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Straight-Leg-Calf-Stretch.gif,seated straight leg calf stretch
fa37bad0-5e35-430c-b45f-2a1094d59bb1,Crouching Heel Back Calf Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Crouching-Heel-Back-Calf-Stretch.gif,crouching heel back calf stretch
01935d80-eca9-4252-b639-b7d810cf5f37,Barbell Jump Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2023/01/Barbell-Jump-Squat.gif,barbell jump squat
dcdd8da9-2410-4046-947d-51392f1ce878,Frog Pose,leg,https://fitnessprogramer.com/wp-content/uploads/2022/12/Frog-Pose-mandukasana.gif,frog pose
2beaba62-7d7f-4c33-a0e6-ab0127717c0c,ATG Split Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/12/ATG-Split-Squat.gif,atg split squat
941ca1a7-aa28-416b-9d1f-0fcda1989d41,Kettlebell Clean and Press,leg,https://fitnessprogramer.com/wp-content/uploads/2023/06/Kettlebell-Clean-and-Press.gif,kettlebell clean and press
b20a3b80-ddc8-48ba-80f4-06d08be64959,Seated Piriformis Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2022/12/Seated-Piriformis-Stretch.gif,seated piriformi stretch
8ef3ab15-7c70-433e-8a21-b2da4e980941,Heel Touch Side Kick Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/12/Heel-Touch-Side-Kick-Squat.gif,heel touch side kick squat
28291cc1-cfdb-4273-92dd-ba7cc770c959,Decline Bench Dumbbell Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Decline-Bench-Dumbbell-Lunge.gif,decline bench dumbbell lunge
fc1d2ce9-4724-4c3e-8137-9479b73ab739,Lateral Leg Swings,leg,https://fitnessprogramer.com/wp-content/uploads/2023/06/Lateral-Leg-Swings.gif,lateral leg swing
f7e8fd4a-aecd-48cc-83d4-a8bea534520b,Banded Walk,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Banded-Walk.gif,banded walk
33055719-7dcc-4599-bce6-5a1f0d71d77e,Resistance Band Lateral Walk,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Resistance-Band-Lateral-Walk.gif,resistance band lateral walk
285e4980-f152-4cf8-9eb6-f54570adb255,Banded Split Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Split-Squat.gif,banded split squat
f3e02379-68e9-49d4-88aa-1dd487b6f676,Banded Kettlebell Goblet Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Kettlebell-Goblet-Squat.gif,banded kettlebell goblet squat
6d6e5117-f9ab-4d58-b2a1-922caeea8669,Banded Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Lunge.gif,banded lunge
3d57c3ea-e3b0-4e30-b7a6-0a26ed859c6e,Banded Leg Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Leg-Curl.gif,banded leg curl
d1ea5471-4f74-431a-ac52-96acbefe5ace,Standing Single Leg Curl Machine,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Standing-Single-Leg-Curl-Machine.gif,standing single leg curl machine
76da60af-9f9e-402f-b3a6-a0debf89a734,Decline Dumbbell Leg Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Decline-Dumbbell-Leg-Curl.gif,decline dumbbell leg curl
6d4de4e5-35f1-46ec-94a3-07ffce1825b6,Single Knee To Chest,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Single-Knee-To-Chest-Stretch.gif,single knee to chest
e4338da6-1c60-46c5-93c4-030d84eab36c,Pistol Squat to Box,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Pistol-Squat-to-Box.gif,pistol squat to box
6188b5ed-0989-4ee8-9110-9b64d40c61c9,Landmine Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2022/10/Landmine-Deadlift.gif,landmine deadlift
34c07aee-4281-4292-bbdf-849168c8fa1e,Standing Knee Hugs,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/STANDING-KNEE-HUGS.gif,standing knee hugs
e393f999-9ce9-4428-844c-c1a8e1921909,Snap Jumps,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/SNAP-JUMPS.gif,snap jump
82e36660-5bb6-4c4c-8249-74d693040463,High Knee Run,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/High-Knee-Run.gif,high knee run
d025de92-ec88-497c-9d2e-15264aab20a0,High Knee Skips,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/High-Knee-Skips_Cardio.gif,high knee skip
6cf5a5ad-a340-43b4-9345-b9af21516a0b,Inner Thigh Side Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/INNER-THIGH-SIDE-STRETCH.gif,inner thigh side stretch
895f2f42-55ee-404f-8c30-8cb36110c190,Skater,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/Skater.gif,skater
